Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
DMART,EQ,1125.55,1124.0,1157.7,1110.85,1113.0,1118.1,1130.78,482312,54538828379999.99,16870,128850,0.2672
DMART,EQ,1118.1,1123.8,1139.0,1110.0,1116.05,1114.4,1127.28,311788,35147087100000.0,12308,116421,0.37340000000000007
DMART,EQ,1114.4,1119.8,1161.0,1093.0,1155.0,1150.7,1130.35,865823,97868576885000.0,25711,326953,0.3776
DMART,EQ,1150.7,1155.6,1160.0,1126.6,1131.2,1133.35,1140.85,466932,53270140150000.0,15233,146084,0.3129
DMART,EQ,1133.35,1129.7,1139.0,1111.0,1120.0,1123.95,1124.64,325570,36614778275000.0,10916,115758,0.3556
DMART,EQ,1123.95,1125.0,1178.0,1124.5,1146.0,1142.4,1140.14,3369105,384124361175000.0,34203,2359457,0.7003
DMART,EQ,1142.4,1145.1,1162.0,1128.0,1130.0,1132.55,1141.78,668356,76311290380000.0,17717,302358,0.4524
DMART,EQ,1132.55,1138.0,1143.9,1121.0,1127.0,1127.4,1130.62,353164,39929430565000.0,14066,128802,0.36469999999999997
DMART,EQ,1127.4,1130.4,1130.8,1113.6,1114.85,1115.75,1122.11,364243,40872032965000.0,13050,199792,0.5485
DMART,EQ,1115.75,1115.0,1131.7,1103.0,1110.0,1108.0,1117.33,385231,43042959485000.0,17627,168580,0.4376
DMART,EQ,1108.0,1115.0,1118.0,1096.25,1104.5,1104.2,1103.83,467433,51596470880000.0,17832,212324,0.45420000000000005
DMART,EQ,1104.2,1114.95,1129.9,1102.35,1121.5,1121.8,1116.47,484592,54103414900000.0,15504,208116,0.42950000000000005
DMART,EQ,1121.8,1109.0,1139.0,1083.0,1137.0,1135.25,1125.06,506810,57019340120000.01,18699,171445,0.3383
DMART,EQ,1135.25,1137.05,1150.0,1125.0,1143.5,1146.0,1139.34,376958,42948391045000.0,11154,158066,0.4193
DMART,EQ,1146.0,1146.0,1158.6,1136.05,1143.0,1143.0,1147.56,306343,35154678905000.0,10971,109512,0.3575
DMART,EQ,1143.0,1140.0,1160.0,1140.0,1154.0,1155.6,1150.64,430141,49493736945000.0,18681,216561,0.5035000000000001
DMART,EQ,1155.6,1157.8,1171.5,1146.6,1150.0,1151.1,1156.66,401234,46409068945000.0,13722,146125,0.3642
DMART,EQ,1151.1,1150.0,1157.0,1144.25,1150.0,1150.15,1149.28,231395,26593687905000.0,16180,100824,0.43570000000000003
DMART,EQ,1150.15,1151.0,1169.0,1140.2,1143.0,1146.35,1155.82,298298,34477749335000.004,9797,92725,0.31079999999999997
DMART,EQ,1146.35,1147.35,1158.0,1142.0,1150.05,1148.35,1149.67,208198,23935955385000.0,10598,70508,0.3387
DMART,EQ,1148.35,1148.0,1194.45,1148.0,1178.5,1181.35,1177.19,1033292,121638018495000.0,25883,409635,0.39640000000000003
DMART,EQ,1181.35,1188.3,1193.25,1166.0,1172.5,1170.5,1181.71,334392,39515595480000.0,9339,131250,0.3925
DMART,EQ,1170.5,1173.7,1178.2,1155.6,1160.7,1160.0,1164.69,302709,35256314695000.0,9423,98217,0.3245
DMART,EQ,1160.0,1162.7,1204.4,1160.0,1184.0,1184.55,1184.91,580610,68797194210000.0,18731,146459,0.2523
DMART,EQ,1184.55,1187.85,1215.0,1186.0,1199.5,1203.1,1204.56,707905,85271298250000.0,20998,192081,0.2713
DMART,EQ,1203.1,1210.1,1268.0,1208.55,1243.0,1243.4,1242.6,1244328,154620629380000.0,39621,375646,0.3019
DMART,EQ,1243.4,1250.0,1259.95,1222.0,1225.0,1226.8,1238.54,520902,64515541795000.01,27178,213747,0.4103
DMART,EQ,1226.8,1232.95,1246.0,1212.7,1231.0,1234.1,1231.89,479684,59091719490000.0,17732,145917,0.3042
